Q,A
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,security
import org.springframework.security,.
import org.springframework.security.,access
import org.springframework.security.access,.
import org.springframework.security.access.,prepost
import org.springframework.security.access.prepost,.
import org.springframework.security.access.prepost.,PreAuthorize
import org.springframework.security.access.prepost.PreAuthorize,;
import org.springframework.security.access.prepost.PreAuthorize;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,validation
import org.springframework.validation,.
import org.springframework.validation.,annotation
import org.springframework.validation.annotation,.
import org.springframework.validation.annotation.,Validated
import org.springframework.validation.annotation.Validated,;
import org.springframework.validation.annotation.Validated;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,*
import org.springframework.web.bind.annotation.*,;
import org.springframework.web.bind.annotation.*;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,multipart
import org.springframework.web.multipart,.
import org.springframework.web.multipart.,MultipartFile
import org.springframework.web.multipart.MultipartFile,;
import org.springframework.web.multipart.MultipartFile;,PARAM_END
import java.,io
import java.io,.
import java.io.,File
import java.io.File,;
import java.io.File;,PARAM_END
import java.,util
import java.util,.
import java.util.,List
import java.util.List,;
import java.util.List;,PARAM_END
@RequestMapping,(
@RequestMapping(,"/user/management"
@RequestMapping("/user/management",)
@RequestMapping("/user/management"),PARAM_END
public ,class
public class, 
public class ,UserManagementController
public class UserManagementController, 
public class UserManagementController ,extends
public class UserManagementController extends, 
public class UserManagementController extends ,BaseController
public class UserManagementController extends BaseController, 
public class UserManagementController extends BaseController ,{
public class UserManagementController extends BaseController {,PARAM_END
private ,static
private static, 
private static ,final
private static final, 
private static final ,Logger
private static final Logger, 
private static final Logger ,LOGGER
private static final Logger LOGGER, 
private static final Logger LOGGER ,=
private static final Logger LOGGER =, 
private static final Logger LOGGER = ,LoggerFactory
private static final Logger LOGGER = LoggerFactory,.
private static final Logger LOGGER = LoggerFactory.,getLogger
private static final Logger LOGGER = LoggerFactory.getLogger,(
private static final Logger LOGGER = LoggerFactory.getLogger(,UserManagementController
private static final Logger LOGGER = LoggerFactory.getLogger(UserManagementController,.
private static final Logger LOGGER = LoggerFactory.getLogger(UserManagementController.,class
private static final Logger LOGGER = LoggerFactory.getLogger(UserManagementController.class,)
private static final Logger LOGGER = LoggerFactory.getLogger(UserManagementController.class),;
private static final Logger LOGGER = LoggerFactory.getLogger(UserManagementController.class);,PARAM_END
private ,UserNewsService
private UserNewsService, 
private UserNewsService ,userNewsService
private UserNewsService userNewsService,;
private UserNewsService userNewsService;,PARAM_END
private ,TokenService
private TokenService, 
private TokenService ,tokenService
private TokenService tokenService,;
private TokenService tokenService;,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('user:news:list')"
@PreAuthorize("@ss.hasPermi('user:news:list')",)
@PreAuthorize("@ss.hasPermi('user:news:list')"),PARAM_END
@GetMapping,(
@GetMapping(,"/list"
@GetMapping("/list",)
@GetMapping("/list"),PARAM_END
public ,TableDataInfo
public TableDataInfo, 
public TableDataInfo ,userNewsList
public TableDataInfo userNewsList,(
public TableDataInfo userNewsList(,UserNews
public TableDataInfo userNewsList(UserNews, 
public TableDataInfo userNewsList(UserNews ,news
public TableDataInfo userNewsList(UserNews news,)
public TableDataInfo userNewsList(UserNews news), 
public TableDataInfo userNewsList(UserNews news) ,{
public TableDataInfo userNewsList(UserNews news) {,PARAM_END
startPage(,)
startPage(),;
startPage();,PARAM_END
LoginUser ,loginUser
LoginUser loginUser, 
LoginUser loginUser ,=
LoginUser loginUser =, 
LoginUser loginUser = ,tokenService
LoginUser loginUser = tokenService,.
LoginUser loginUser = tokenService.,getLoginUser
LoginUser loginUser = tokenService.getLoginUser,(
LoginUser loginUser = tokenService.getLoginUser(,ServletUtils
LoginUser loginUser = tokenService.getLoginUser(ServletUtils,.
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.,getRequest
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest,(
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(,)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(),)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest()),;
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest());,PARAM_END
news.,setUserId
news.setUserId,(
news.setUserId(,loginUser
news.setUserId(loginUser,.
news.setUserId(loginUser.,getUser
news.setUserId(loginUser.getUser,(
news.setUserId(loginUser.getUser(,)
news.setUserId(loginUser.getUser(),.
news.setUserId(loginUser.getUser().,getUserId
news.setUserId(loginUser.getUser().getUserId,(
news.setUserId(loginUser.getUser().getUserId(,)
news.setUserId(loginUser.getUser().getUserId(),)
news.setUserId(loginUser.getUser().getUserId()),;
news.setUserId(loginUser.getUser().getUserId());,PARAM_END
List<,UserNews
List<UserNews,>
List<UserNews>, 
List<UserNews> ,list
List<UserNews> list, 
List<UserNews> list ,=
List<UserNews> list =, 
List<UserNews> list = ,userNewsService
List<UserNews> list = userNewsService,.
List<UserNews> list = userNewsService.,selectUserNewsList
List<UserNews> list = userNewsService.selectUserNewsList,(
List<UserNews> list = userNewsService.selectUserNewsList(,news
List<UserNews> list = userNewsService.selectUserNewsList(news,)
List<UserNews> list = userNewsService.selectUserNewsList(news),;
List<UserNews> list = userNewsService.selectUserNewsList(news);,PARAM_END
return ,getDataTable
return getDataTable,(
return getDataTable(,list
return getDataTable(list,)
return getDataTable(list),;
return getDataTable(list);,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('user:news:query')"
@PreAuthorize("@ss.hasPermi('user:news:query')",)
@PreAuthorize("@ss.hasPermi('user:news:query')"),PARAM_END
@GetMapping,(
@GetMapping(,value
@GetMapping(value, 
@GetMapping(value ,=
@GetMapping(value =, 
@GetMapping(value = ,{
@GetMapping(value = {, 
@GetMapping(value = { ,"/detail/{newsId}"
@GetMapping(value = { "/detail/{newsId}", 
@GetMapping(value = { "/detail/{newsId}" ,}
@GetMapping(value = { "/detail/{newsId}" },)
@GetMapping(value = { "/detail/{newsId}" }),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,getUserNews
public AjaxResult getUserNews,(
public AjaxResult getUserNews(,@
public AjaxResult getUserNews(@,PathVariable
public AjaxResult getUserNews(@PathVariable,(
public AjaxResult getUserNews(@PathVariable(,value
public AjaxResult getUserNews(@PathVariable(value, 
public AjaxResult getUserNews(@PathVariable(value ,=
public AjaxResult getUserNews(@PathVariable(value =, 
public AjaxResult getUserNews(@PathVariable(value = ,"newsId"
public AjaxResult getUserNews(@PathVariable(value = "newsId",)
public AjaxResult getUserNews(@PathVariable(value = "newsId"), 
public AjaxResult getUserNews(@PathVariable(value = "newsId") ,Long
public AjaxResult getUserNews(@PathVariable(value = "newsId") Long, 
public AjaxResult getUserNews(@PathVariable(value = "newsId") Long ,newsId
public AjaxResult getUserNews(@PathVariable(value = "newsId") Long newsId,)
public AjaxResult getUserNews(@PathVariable(value = "newsId") Long newsId), 
public AjaxResult getUserNews(@PathVariable(value = "newsId") Long newsId) ,{
public AjaxResult getUserNews(@PathVariable(value = "newsId") Long newsId) {,PARAM_END
LoginUser ,loginUser
LoginUser loginUser, 
LoginUser loginUser ,=
LoginUser loginUser =, 
LoginUser loginUser = ,tokenService
LoginUser loginUser = tokenService,.
LoginUser loginUser = tokenService.,getLoginUser
LoginUser loginUser = tokenService.getLoginUser,(
LoginUser loginUser = tokenService.getLoginUser(,ServletUtils
LoginUser loginUser = tokenService.getLoginUser(ServletUtils,.
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.,getRequest
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest,(
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(,)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(),)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest()),;
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest());,PARAM_END
Long ,userId
Long userId, 
Long userId ,=
Long userId =, 
Long userId = ,loginUser
Long userId = loginUser,.
Long userId = loginUser.,getUser
Long userId = loginUser.getUser,(
Long userId = loginUser.getUser(,)
Long userId = loginUser.getUser(),.
Long userId = loginUser.getUser().,getUserId
Long userId = loginUser.getUser().getUserId,(
Long userId = loginUser.getUser().getUserId(,)
Long userId = loginUser.getUser().getUserId(),;
Long userId = loginUser.getUser().getUserId();,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,AjaxResult
ajax.put(AjaxResult,.
ajax.put(AjaxResult.,DATA_TAG
ajax.put(AjaxResult.DATA_TAG,@COMMA_CHAR_REPLACE
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE, 
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE ,userNewsService
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService,.
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.,queryUserNewsById
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById,(
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(,newsId
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(newsId,@COMMA_CHAR_REPLACE
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(newsId@COMMA_CHAR_REPLACE, 
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(newsId@COMMA_CHAR_REPLACE ,userId
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(newsId@COMMA_CHAR_REPLACE userId,)
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(newsId@COMMA_CHAR_REPLACE userId),)
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(newsId@COMMA_CHAR_REPLACE userId)),;
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE userNewsService.queryUserNewsById(newsId@COMMA_CHAR_REPLACE userId));,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
@Log,(
@Log(,title
@Log(title, 
@Log(title ,=
@Log(title =, 
@Log(title = ,"文件上传"
@Log(title = "文件上传",@COMMA_CHAR_REPLACE
@Log(title = "文件上传"@COMMA_CHAR_REPLACE, 
@Log(title = "文件上传"@COMMA_CHAR_REPLACE ,businessType
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType, 
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType ,=
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType =, 
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType = ,BusinessType
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType = BusinessType,.
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType = BusinessType.,IMPORT
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType = BusinessType.IMPORT,)
@Log(title = "文件上传"@COMMA_CHAR_REPLACE businessType = BusinessType.IMPORT),PARAM_END
@PostMapping,(
@PostMapping(,"/importData"
@PostMapping("/importData",)
@PostMapping("/importData"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,importData
public AjaxResult importData,(
public AjaxResult importData(,MultipartFile
public AjaxResult importData(MultipartFile, 
public AjaxResult importData(MultipartFile ,file
public AjaxResult importData(MultipartFile file,)
public AjaxResult importData(MultipartFile file), 
public AjaxResult importData(MultipartFile file) ,throws
public AjaxResult importData(MultipartFile file) throws, 
public AjaxResult importData(MultipartFile file) throws ,Exception
public AjaxResult importData(MultipartFile file) throws Exception, 
public AjaxResult importData(MultipartFile file) throws Exception ,{
public AjaxResult importData(MultipartFile file) throws Exception {,PARAM_END
String ,message
String message, 
String message ,=
String message =, 
String message = ,"请上传txt文件！"
String message = "请上传txt文件！",;
String message = "请上传txt文件！";,PARAM_END
if ,(
if (,file
if (file, 
if (file ,==
if (file ==, 
if (file == ,null
